"column_name","Not Answered","DESPAIR","JOY","MEH","Chocolate"
"Skittles",0.286991869918699,0.130487804878049,0.336991869918699,0.245528455284553,"No"
"Hershey s Kisses",0.275609756097561,0.0902439024390244,0.339024390243902,0.295121951219512,"Yes"
"Whatchamacallit Bars",0.334552845528455,0.117073170731707,0.341463414634146,0.206910569105691,"Yes"
"Starburst",0.281707317073171,0.121544715447154,0.346747967479675,0.25,"No"
"Mr  Goodbar",0.300813008130081,0.0894308943089431,0.348373983739837,0.261382113821138,"Yes"
"100 Grand Bar",0.303658536585366,0.0345528455284553,0.354878048780488,0.306910569105691,"Yes"
"Milk Duds",0.281707317073171,0.101626016260163,0.356910569105691,0.259756097560976,"Yes"
"HersheyÕs Milk Chocolate",0.273170731707317,0.0914634146341463,0.364227642276423,0.271138211382114,"Yes"
"Mint Juleps",0.329674796747967,0.167886178861789,0.367479674796748,0.134959349593496,"No"
"Caramellos",0.305691056910569,0.066260162601626,0.38739837398374,0.240650406504065,"Yes"
"Red M M s",0.296341463414634,0.0504065040650407,0.406910569105691,0.246341463414634,"Yes"
"Blue M M s",0.295528455284553,0.048780487804878,0.413821138211382,0.241869918699187,"Yes"
"Junior Mints",0.283739837398374,0.1,0.414634146341463,0.201626016260163,"Yes"
"Mars",0.294715447154472,0.0495934959349593,0.417073170731707,0.238617886178862,"Yes"
"Three Musketeers",0.28780487804878,0.0715447154471545,0.430081300813008,0.210569105691057,"Yes"
"Heath Bar",0.289430894308943,0.0865853658536585,0.434552845528455,0.189430894308943,"Yes"
"Hershey s Dark Chocolate",0.273577235772358,0.0711382113821138,0.449186991869919,0.20609756097561,"Yes"
"York Peppermint Patties",0.286585365853659,0.0943089430894309,0.449186991869919,0.169918699186992,"Yes"
"Regular M Ms",0.274390243902439,0.0304878048780488,0.45609756097561,0.239024390243902,"Yes"
"Reese s Pieces",0.280894308943089,0.0682926829268293,0.461788617886179,0.189024390243902,"Yes"
"Rolos",0.290243902439024,0.056910569105691,0.467886178861789,0.184959349593496,"Yes"
"Dove Bars",0.285365853658537,0.0439024390243902,0.478048780487805,0.192682926829268,"Yes"
"Butterfinger",0.277235772357724,0.0573170731707317,0.478455284552846,0.186991869918699,"Yes"
"Milky Way",0.279674796747967,0.0414634146341463,0.481707317073171,0.197154471544715,"Yes"
"Nestle Crunch",0.283739837398374,0.0414634146341463,0.482926829268293,0.191869918699187,"Yes"
"Lindt Truffle",0.291869918699187,0.0398373983739837,0.519105691056911,0.149186991869919,"Yes"
"Peanut M MÕs",0.272764227642276,0.0491869918699187,0.52479674796748,0.153252032520325,"Yes"
"Tolberone something or other",0.286991869918699,0.0341463414634146,0.536585365853659,0.142276422764228,"Yes"
"Snickers",0.280487804878049,0.0321138211382114,0.56869918699187,0.11869918699187,"Yes"
"Twix",0.280487804878049,0.0288617886178862,0.574390243902439,0.116260162601626,"Yes"
"Kit Kat",0.273983739837398,0.0211382113821138,0.588211382113821,0.116666666666667,"Yes"
"ReeseÕs Peanut Butter Cups",0.276016260162602,0.0386178861788618,0.608943089430894,0.0764227642276423,"Yes"
"Any full sized candy bar",0.273170731707317,0.00691056910569106,0.633739837398374,0.0861788617886179,"Yes"
