pid,sex,group,registration.d_arrive,registration.weight,familiarization.d_visit,familiarization.weight,key.d_sacrifice,terminal.weight.bw
10335730,female,4w,04SEP2018,163.9,23OCT2018,186.3,05DEC2018,192.3
10337199,female,4w,04SEP2018,171.3,23OCT2018,187.9,05DEC2018,188.8
10338918,female,4w,04SEP2018,163.6,23OCT2018,179.7,05DEC2018,187.3
10356738,female,4w,04SEP2018,210.6,23OCT2018,212.3,05DEC2018,229
10381414,female,4w,04SEP2018,167.8,23OCT2018,181.4,06DEC2018,186.2
10387021,female,4w,04SEP2018,170.1,23OCT2018,182.4,06DEC2018,190.7
10391800,female,4w,04SEP2018,172.4,23OCT2018,183.5,06DEC2018,190
10398651,female,4w,04SEP2018,170.1,23OCT2018,183.4,06DEC2018,192.4
10411690,female,4w,04SEP2018,155.2,23OCT2018,162.3,06DEC2018,163.5
10043608,female,8w,02JUL2018,180.4,24JUL2018,184.2,01OCT2018,194
10044256,female,8w,02JUL2018,168.9,24JUL2018,167.4,01OCT2018,176.8
10044760,female,8w,02JUL2018,170.3,24JUL2018,171.6,02OCT2018,180
10044841,female,8w,02JUL2018,178.4,24JUL2018,178.1,02OCT2018,180.7
10045228,female,8w,02JUL2018,163.5,24JUL2018,167.1,03OCT2018,181.3
10045309,female,8w,02JUL2018,182.4,24JUL2018,184.2,03OCT2018,183.4
10045651,female,8w,02JUL2018,191.6,24JUL2018,190.1,03OCT2018,197.7
10045732,female,8w,02JUL2018,171.6,24JUL2018,176.6,03OCT2018,179.7
10046461,female,8w,02JUL2018,192.3,24JUL2018,191.4,04OCT2018,200.3
10046542,female,8w,02JUL2018,190.6,24JUL2018,195.6,04OCT2018,194.9
10046623,female,8w,02JUL2018,179.7,24JUL2018,187.2,04OCT2018,192.2
10046704,female,8w,02JUL2018,173.3,24JUL2018,171.5,05OCT2018,177
10046895,female,8w,02JUL2018,179.3,24JUL2018,187,05OCT2018,192.3
10046976,female,8w,02JUL2018,175.2,24JUL2018,176.2,05OCT2018,194.2
10043527,female,control,02JUL2018,180.2,24JUL2018,181.2,01OCT2018,196.2
10043799,female,control,02JUL2018,179.4,24JUL2018,179.2,05OCT2018,196.2
10043950,female,control,02JUL2018,176.6,24JUL2018,174.4,05OCT2018,195
10044094,female,control,02JUL2018,180.1,24JUL2018,181.2,01OCT2018,190
10044337,female,control,02JUL2018,183.6,24JUL2018,185.2,01OCT2018,199.1
10044418,female,control,02JUL2018,177.1,24JUL2018,178.3,02OCT2018,186.4
10044922,female,control,02JUL2018,163.2,24JUL2018,168.4,02OCT2018,180.2
10045570,female,control,02JUL2018,168.7,24JUL2018,170.3,03OCT2018,184.8
10045813,female,control,02JUL2018,167.7,24JUL2018,172.1,03OCT2018,179.9
10046038,female,control,02JUL2018,180.5,24JUL2018,185.7,04OCT2018,199
10046119,female,control,02JUL2018,178.6,24JUL2018,189.1,04OCT2018,200.2
10046380,female,control,02JUL2018,186.1,24JUL2018,187.2,04OCT2018,209.3
10417702,male,1w,09OCT2018,294.7,01JAN2019,343.4,21JAN2019,337.5
10422463,male,1w,09OCT2018,324.2,01JAN2019,390.5,21JAN2019,380.2
10424911,male,1w,09OCT2018,273.1,01JAN2019,340.2,21JAN2019,333.6
10471596,male,1w,09OCT2018,261.3,01JAN2019,333.6,21JAN2019,324.9
10478337,male,1w,09OCT2018,269.1,01JAN2019,320.2,21JAN2019,311.1
10503110,male,1w,09OCT2018,288.5,01JAN2019,329.3,22JAN2019,323.4
10536558,male,1w,09OCT2018,274.1,01JAN2019,343.3,22JAN2019,334.3
10543767,male,1w,09OCT2018,282.4,01JAN2019,359.8,22JAN2019,346.3
10553053,male,1w,09OCT2018,313.8,01JAN2019,399,22JAN2019,389.3
10561072,male,1w,09OCT2018,281.9,01JAN2019,350.9,22JAN2019,340.1
10616233,male,1w,09OCT2018,251.1,01JAN2019,316.3,23JAN2019,299.7
10619259,male,1w,09OCT2018,262.6,01JAN2019,328.8,23JAN2019,373.6
10621903,male,1w,09OCT2018,255.8,01JAN2019,305.7,23JAN2019,316.9
10675086,male,1w,09OCT2018,294.6,01JAN2019,357,23JAN2019,345.7
10677887,male,1w,09OCT2018,290.6,01JAN2019,348.9,23JAN2019,336.1
10434046,male,2w,09OCT2018,282.4,01JAN2019,343.7,28JAN2019,323.5
10436170,male,2w,09OCT2018,297.8,01JAN2019,356.5,28JAN2019,337.1
10472053,male,2w,09OCT2018,259.2,01JAN2019,316.5,28JAN2019,303.9
10486003,male,2w,09OCT2018,268.9,01JAN2019,330.4,28JAN2019,313.7
10496580,male,2w,09OCT2018,298.8,01JAN2019,363.3,28JAN2019,348
10502300,male,2w,09OCT2018,351.1,01JAN2019,426.2,29JAN2019,399.4
10531599,male,2w,09OCT2018,292.6,01JAN2019,352.7,29JAN2019,333.1
10564179,male,2w,09OCT2018,272.9,01JAN2019,342.6,29JAN2019,331.9
10587543,male,2w,09OCT2018,292,01JAN2019,344.2,29JAN2019,326.5
10589325,male,2w,09OCT2018,274.3,01JAN2019,323.3,29JAN2019,310.9
10591575,male,2w,09OCT2018,268.2,01JAN2019,335.9,30JAN2019,326.6
10611193,male,2w,09OCT2018,262.4,01JAN2019,331,30JAN2019,321.2
10637079,male,2w,09OCT2018,313.5,01JAN2019,382.4,30JAN2019,314.5
10641858,male,2w,09OCT2018,266.8,01JAN2019,320.6,30JAN2019,307.3
10672656,male,2w,09OCT2018,286.3,01JAN2019,342.2,30JAN2019,326.3
10059369,male,4w,07AUG2018,327,02OCT2018,338.1,12NOV2018,324.2
10063633,male,4w,07AUG2018,300.8,02OCT2018,338.9,12NOV2018,332.9
10085017,male,4w,07AUG2018,328.7,02OCT2018,352.6,12NOV2018,343.9
10088113,male,4w,07AUG2018,250.7,02OCT2018,281.6,12NOV2018,271
10093702,male,4w,07AUG2018,252.7,02OCT2018,277.7,12NOV2018,267.9
10095241,male,4w,07AUG2018,291.5,02OCT2018,321,13NOV2018,307.7
10106383,male,4w,07AUG2018,292.7,02OCT2018,315,13NOV2018,301.4
10136967,male,4w,07AUG2018,337.1,02OCT2018,353.5,13NOV2018,353.9
10139044,male,4w,07AUG2018,276.7,02OCT2018,311,13NOV2018,297.6
10139710,male,4w,07AUG2018,246.5,02OCT2018,272,13NOV2018,265.4
10152148,male,4w,07AUG2018,300,02OCT2018,321.2,14NOV2018,336.1
10171010,male,4w,07AUG2018,304,02OCT2018,334.2,14NOV2018,311.3
10175431,male,4w,07AUG2018,313.8,02OCT2018,352.9,14NOV2018,308.5
10179267,male,4w,07AUG2018,294.6,02OCT2018,326.9,14NOV2018,311.7
10185585,male,4w,07AUG2018,309.4,02OCT2018,347.5,15NOV2018,319.1
10204989,male,4w,07AUG2018,273.4,02OCT2018,302.5,15NOV2018,313.3
10219315,male,4w,07AUG2018,302.9,02OCT2018,327.1,15NOV2018,327.4
10220917,male,4w,07AUG2018,309.2,02OCT2018,331.3,15NOV2018,298.1
10024735,male,8w,05JUN2018,317.2,27JUN2018,327.2,03SEP2018,304.7
10025626,male,8w,05JUN2018,303.4,27JUN2018,315.6,04SEP2018,293.3
10025707,male,8w,05JUN2018,346.1,27JUN2018,354.3,04SEP2018,331
10025898,male,8w,05JUN2018,327.3,27JUN2018,339.4,04SEP2018,321.1
10025979,male,8w,05JUN2018,338.2,27JUN2018,352.6,05SEP2018,327
10026193,male,8w,05JUN2018,334.5,27JUN2018,338.1,05SEP2018,321.2
10026436,male,8w,05JUN2018,314.7,27JUN2018,333.8,05SEP2018,311.2
10026940,male,8w,05JUN2018,342.6,27JUN2018,342.6,06SEP2018,326.5
10027084,male,8w,05JUN2018,338.4,27JUN2018,336.4,06SEP2018,324.5
10027165,male,8w,05JUN2018,304,27JUN2018,323.9,06SEP2018,305.2
10027246,male,8w,05JUN2018,292.4,27JUN2018,304.7,06SEP2018,287.4
10027408,male,8w,05JUN2018,322.3,27JUN2018,340.1,07SEP2018,312.6
10027912,male,8w,05JUN2018,310.9,27JUN2018,338,07SEP2018,317.9
10023259,male,control,05JUN2018,335,27JUN2018,333,03SEP2018,346.2
10024816,male,control,05JUN2018,307.6,27JUN2018,319.7,03SEP2018,324.6
10025464,male,control,05JUN2018,297.2,27JUN2018,316.4,04SEP2018,332.8
10025545,male,control,05JUN2018,338.7,27JUN2018,345.3,04SEP2018,353.8
10026002,male,control,05JUN2018,327.5,27JUN2018,339.7,05SEP2018,360.2
10026274,male,control,05JUN2018,290.8,27JUN2018,304,05SEP2018,318.6
10026355,male,control,05JUN2018,353.7,27JUN2018,365.9,05SEP2018,381.1
10026517,male,control,05JUN2018,312.2,27JUN2018,325.8,06SEP2018,366.1
10026789,male,control,05JUN2018,322.9,27JUN2018,339.6,06SEP2018,357.2
10027327,male,control,05JUN2018,361.3,27JUN2018,371.4,07SEP2018,351.4
10027599,male,control,05JUN2018,321.9,27JUN2018,337.2,07SEP2018,342.7
10027831,male,control,05JUN2018,315.1,27JUN2018,331.9,07SEP2018,383.4
